LineId,Content,EventId,EventTemplate,ContentWithHeader,EventTemplateWithHeader
403,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,s10,probe sleep jar: <*>,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,probe sleep jar: <*>
404,start HadoopTerasort bench,s13,start <*> bench,start HadoopTerasort bench,start <*> bench
405,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s14,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>
406,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s15,Deleted <*>,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,Deleted <*>
407,hdfs du -s: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -du -s hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,s40,hdfs du -s: <*> --config <*> fs -du -s <*>,hdfs du -s: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -du -s hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,hdfs du -s: <*> --config <*> fs -du -s <*>
408,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar terasort -D mapreduce.job.reduces=4 -D mapreduce.job.queuename=team7 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s85,Submit MapReduce Job: <*> --config <*> jar <*> terasort -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar terasort -D mapreduce.job.reduces=4 -D mapreduce.job.queuename=team7 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,Submit MapReduce Job: <*> --config <*> jar <*> terasort -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>
409,starting,s41,starting,22/11/20 17:56:25 INFO terasort.TeraSort: starting,<*> INFO <*>: starting
410,"Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938395773, maxDate=1669543195773, sequenceNumber=8531722, masterKeyId=1042 on ha-hdfs:cuhkcluster",s18,"Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>","22/11/20 17:56:26 INFO hdfs.DFSClient: Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938395773, maxDate=1669543195773, sequenceNumber=8531722, masterKeyId=1042 on ha-hdfs:cuhkcluster","<*> INFO <*>: Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>"
411,"Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",s19,Getting new token from <*> renewer:<*>,"22/11/20 17:56:26 INFO kms.KMSClientProvider: Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",<*> INFO <*>: Getting new token from <*> renewer:<*>
412,"New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938395847, maxDate=1669543195847, sequenceNumber=78295, masterKeyId=653))",s21,"New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))","22/11/20 17:56:26 INFO kms.KMSClientProvider: New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938395847, maxDate=1669543195847, sequenceNumber=78295, masterKeyId=653))","<*> INFO <*>: New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))"
413,"Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938395773, maxDate=1669543195773, sequenceNumber=8531722, masterKeyId=1042)",s89,"Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:56:26 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938395773, maxDate=1669543195773, sequenceNumber=8531722, masterKeyId=1042)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
414,"Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938395847, maxDate=1669543195847, sequenceNumber=78295, masterKeyId=653)",s22,"Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:56:26 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938395847, maxDate=1669543195847, sequenceNumber=78295, masterKeyId=653)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
415,Total input files to process : 3,s17,Total input files to process : <*>,22/11/20 17:56:27 INFO input.FileInputFormat: Total input files to process : 3,<*> INFO <*>: Total input files to process : <*>
416,Spent 519ms computing base-splits.,s43,Spent <*> computing base-splits.,Spent 519ms computing base-splits.,Spent <*> computing base-splits.
417,Spent 2ms computing TeraScheduler splits.,s44,Spent <*> computing TeraScheduler splits.,Spent 2ms computing TeraScheduler splits.,Spent <*> computing TeraScheduler splits.
418,Computing input splits took 522ms,s45,Computing input splits took <*>,Computing input splits took 522ms,Computing input splits took <*>
419,Sampling 3 splits of 3,s46,Sampling <*> splits of <*>,Sampling 3 splits of 3,Sampling <*> splits of <*>
420,Making 4 from 99999 sampled records,s47,Making <*> from <*> sampled records,Making 4 from 99999 sampled records,Making <*> from <*> sampled records
421,Computing parititions took 410ms,s48,Computing parititions took <*>,Computing parititions took 410ms,Computing parititions took <*>
422,Spent 935ms computing partitions.,s49,Spent <*> computing partitions.,Spent 935ms computing partitions.,Spent <*> computing partitions.
423,Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,s17,Connecting to Application History server at <*>,22/11/20 17:56:27 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,<*> INFO <*>: Connecting to Application History server at <*>
424,Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6841,s23,Disabling Erasure Coding for path: <*>,22/11/20 17:56:27 INFO mapreduce.JobResourceUploader: Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6841,<*> INFO <*>: Disabling Erasure Coding for path: <*>
425,number of splits:3,s25,number of splits:<*>,22/11/20 17:56:27 INFO mapreduce.JobSubmitter: number of splits:3,<*> INFO <*>: number of splits:<*>
426,Submitting tokens for job: job_1668496639954_6841,s26,Submitting tokens for job: <*>,22/11/20 17:56:28 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1668496639954_6841,<*> INFO <*>: Submitting tokens for job: <*>
427,"Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938395773, maxDate=1669543195773, sequenceNumber=8531722, masterKeyId=1042), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938395847, maxDate=1669543195847, sequenceNumber=78295, masterKeyId=653)]",s27,"Executing with tokens: [Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>), Kind: kms-dt, Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)]","22/11/20 17:56:28 INFO mapreduce.JobSubmitter: Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938395773, maxDate=1669543195773, sequenceNumber=8531722, masterKeyId=1042), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938395847, maxDate=1669543195847, sequenceNumber=78295, masterKeyId=653)]","<*> INFO <*>: Executing with tokens: [Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>), Kind: kms-dt, Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)]"
428,found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml,s28,found resource <*> at <*>,22/11/20 17:56:28 INFO conf.Configuration: found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml,<*> INFO <*>: found resource <*> at <*>
429,Timeline service address: manager.cuhk.com:8188,s29,Timeline service address: <*>,22/11/20 17:56:28 INFO impl.TimelineClientImpl: Timeline service address: manager.cuhk.com:8188,<*> INFO <*>: Timeline service address: <*>
430,Submitted application application_1668496639954_6841,s30,Submitted application <*>,22/11/20 17:56:28 INFO impl.YarnClientImpl: Submitted application application_1668496639954_6841,<*> INFO <*>: Submitted application <*>
431,The url to track the job: http://master1.cuhk.com:8088/proxy/application_1668496639954_6841/,s31,The url to track the job: <*>,22/11/20 17:56:28 INFO mapreduce.Job: The url to track the job: http://master1.cuhk.com:8088/proxy/application_1668496639954_6841/,<*> INFO <*>: The url to track the job: <*>
432,Running job: job_1668496639954_6841,s32,Running job: <*>,22/11/20 17:56:28 INFO mapreduce.Job: Running job: job_1668496639954_6841,<*> INFO <*>: Running job: <*>
433,Job job_1668496639954_6841 running in uber mode : false,s33,Job <*> running in uber mode : <*>,22/11/20 17:56:37 INFO mapreduce.Job: Job job_1668496639954_6841 running in uber mode : false,<*> INFO <*>: Job <*> running in uber mode : <*>
434,map 0% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:56:37 INFO mapreduce.Job:  map 0% reduce 0%,<*> INFO <*>: map <*> reduce <*>
435,map 67% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:56:44 INFO mapreduce.Job:  map 67% reduce 0%,<*> INFO <*>: map <*> reduce <*>
436,map 100% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:56:45 INFO mapreduce.Job:  map 100% reduce 0%,<*> INFO <*>: map <*> reduce <*>
437,map 100% reduce 75%,s34,map <*> reduce <*>,22/11/20 17:56:49 INFO mapreduce.Job:  map 100% reduce 75%,<*> INFO <*>: map <*> reduce <*>
438,map 100% reduce 100%,s34,map <*> reduce <*>,22/11/20 17:56:51 INFO mapreduce.Job:  map 100% reduce 100%,<*> INFO <*>: map <*> reduce <*>
439,Job job_1668496639954_6841 completed successfully,s35,Job <*> completed successfully,22/11/20 17:56:51 INFO mapreduce.Job: Job job_1668496639954_6841 completed successfully,<*> INFO <*>: Job <*> completed successfully
440,done,s90,done,22/11/20 17:56:51 INFO terasort.TeraSort: done,<*> INFO <*>: done
441,finish HadoopTerasort bench,s36,finish <*> bench,finish HadoopTerasort bench,finish <*> bench
442,mkdir: cannot create directory '/home/team7/results/terasort/tiny_2_4': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results/terasort/tiny_2_4': File exists,mkdir: cannot create directory <*>: File exists
443,top: failed tty get,s50,top: failed tty get,top: failed tty get,top: failed tty get
444,Start changing mapper and reducer ...,s37,Start changing mapper and reducer ...,Start changing mapper and reducer ...,Start changing mapper and reducer ...
445,"====================Start execute hibench datasize: tiny, mapper: 3, reducer: 1 ======================",s38,====================Start execute hibench datasize: <*> mapper: <*> reducer: <*> ======================,"====================Start execute hibench datasize: tiny, mapper: 3, reducer: 1 ======================",====================Start execute hibench datasize: <*> mapper: <*> reducer: <*> ======================
446,Running terasort test ...,s39,Running <*> test ...,Running terasort test ...,Running <*> test ...
447,patching args=,s8,patching args=<*>,patching args=,patching args=<*>
448,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,patching args=<*>
449,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,Parsing conf: <*>
450,Parsing conf: /home/team7/HiBench3/conf/spark.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/spark.conf,Parsing conf: <*>
451,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,Parsing conf: <*>
452,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,s10,probe sleep jar: <*>,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,probe sleep jar: <*>
453,start HadoopTerasort bench,s13,start <*> bench,start HadoopTerasort bench,start <*> bench
454,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s14,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,hdfs rm -r: <*> --config <*> fs -rm -r -skipTrash <*>
455,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s15,Deleted <*>,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,Deleted <*>
456,hdfs du -s: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -du -s hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,s40,hdfs du -s: <*> --config <*> fs -du -s <*>,hdfs du -s: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -du -s hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input,hdfs du -s: <*> --config <*> fs -du -s <*>
457,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar terasort -D mapreduce.job.reduces=1 -D mapreduce.job.queuename=team7 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,s85,Submit MapReduce Job: <*> --config <*> jar <*> terasort -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar terasort -D mapreduce.job.reduces=1 -D mapreduce.job.queuename=team7 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Output,Submit MapReduce Job: <*> --config <*> jar <*> terasort -D mapreduce.job.reduces=<*> -D mapreduce.job.queuename=<*> <*>
458,starting,s41,starting,22/11/20 17:57:01 INFO terasort.TeraSort: starting,<*> INFO <*>: starting
459,"Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938431232, maxDate=1669543231232, sequenceNumber=8531728, masterKeyId=1042 on ha-hdfs:cuhkcluster",s18,"Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>","22/11/20 17:57:02 INFO hdfs.DFSClient: Created token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938431232, maxDate=1669543231232, sequenceNumber=8531728, masterKeyId=1042 on ha-hdfs:cuhkcluster","<*> INFO <*>: Created token for <*>: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*> on <*>"
460,"Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",s19,Getting new token from <*> renewer:<*>,"22/11/20 17:57:02 INFO kms.KMSClientProvider: Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA",<*> INFO <*>: Getting new token from <*> renewer:<*>
461,"New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938431300, maxDate=1669543231300, sequenceNumber=78297, masterKeyId=653))",s21,"New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))","22/11/20 17:57:02 INFO kms.KMSClientProvider: New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938431300, maxDate=1669543231300, sequenceNumber=78297, masterKeyId=653))","<*> INFO <*>: New token received: (Kind: <*> Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>))"
462,"Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938431232, maxDate=1669543231232, sequenceNumber=8531728, masterKeyId=1042)",s89,"Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:57:02 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938431232, maxDate=1669543231232, sequenceNumber=8531728, masterKeyId=1042)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
463,"Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938431300, maxDate=1669543231300, sequenceNumber=78297, masterKeyId=653)",s22,"Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)","22/11/20 17:57:02 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938431300, maxDate=1669543231300, sequenceNumber=78297, masterKeyId=653)","<*> INFO <*>: Got dt for <*>; Kind: <*> Service: <*> Ident: (<*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)"
464,Total input files to process : 3,s17,Total input files to process : <*>,22/11/20 17:57:02 INFO input.FileInputFormat: Total input files to process : 3,<*> INFO <*>: Total input files to process : <*>
465,Spent 501ms computing base-splits.,s43,Spent <*> computing base-splits.,Spent 501ms computing base-splits.,Spent <*> computing base-splits.
466,Spent 1ms computing TeraScheduler splits.,s44,Spent <*> computing TeraScheduler splits.,Spent 1ms computing TeraScheduler splits.,Spent <*> computing TeraScheduler splits.
467,Computing input splits took 502ms,s45,Computing input splits took <*>,Computing input splits took 502ms,Computing input splits took <*>
468,Sampling 3 splits of 3,s46,Sampling <*> splits of <*>,Sampling 3 splits of 3,Sampling <*> splits of <*>
469,Making 1 from 99999 sampled records,s47,Making <*> from <*> sampled records,Making 1 from 99999 sampled records,Making <*> from <*> sampled records
470,Computing parititions took 354ms,s48,Computing parititions took <*>,Computing parititions took 354ms,Computing parititions took <*>
471,Spent 858ms computing partitions.,s49,Spent <*> computing partitions.,Spent 858ms computing partitions.,Spent <*> computing partitions.
472,Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,s17,Connecting to Application History server at <*>,22/11/20 17:57:03 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200,<*> INFO <*>: Connecting to Application History server at <*>
473,Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6843,s23,Disabling Erasure Coding for path: <*>,22/11/20 17:57:03 INFO mapreduce.JobResourceUploader: Disabling Erasure Coding for path: /user/team7/.staging/job_1668496639954_6843,<*> INFO <*>: Disabling Erasure Coding for path: <*>
474,number of splits:3,s25,number of splits:<*>,22/11/20 17:57:03 INFO mapreduce.JobSubmitter: number of splits:3,<*> INFO <*>: number of splits:<*>
475,Submitting tokens for job: job_1668496639954_6843,s26,Submitting tokens for job: <*>,22/11/20 17:57:03 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1668496639954_6843,<*> INFO <*>: Submitting tokens for job: <*>
476,"Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938431232, maxDate=1669543231232, sequenceNumber=8531728, masterKeyId=1042), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938431300, maxDate=1669543231300, sequenceNumber=78297, masterKeyId=653)]",s27,"Executing with tokens: [Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>), Kind: kms-dt, Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)]","22/11/20 17:57:03 INFO mapreduce.JobSubmitter: Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner=team7@BIGDATA, renewer=yarn, realUser=, issueDate=1668938431232, maxDate=1669543231232, sequenceNumber=8531728, masterKeyId=1042), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team7, renewer=yarn, realUser=, issueDate=1668938431300, maxDate=1669543231300, sequenceNumber=78297, masterKeyId=653)]","<*> INFO <*>: Executing with tokens: [Kind: <*> Service: <*> Ident: (token for team7: <*> owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>), Kind: kms-dt, Service: <*> Ident: (kms-dt owner=<*>, renewer=<*>, realUser=<*>, issueDate=<*>, maxDate=<*>, sequenceNumber=<*>, masterKeyId=<*>)]"
477,found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml,s28,found resource <*> at <*>,22/11/20 17:57:03 INFO conf.Configuration: found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml,<*> INFO <*>: found resource <*> at <*>
478,Timeline service address: manager.cuhk.com:8188,s29,Timeline service address: <*>,22/11/20 17:57:03 INFO impl.TimelineClientImpl: Timeline service address: manager.cuhk.com:8188,<*> INFO <*>: Timeline service address: <*>
479,Submitted application application_1668496639954_6843,s30,Submitted application <*>,22/11/20 17:57:04 INFO impl.YarnClientImpl: Submitted application application_1668496639954_6843,<*> INFO <*>: Submitted application <*>
480,The url to track the job: http://master1.cuhk.com:8088/proxy/application_1668496639954_6843/,s31,The url to track the job: <*>,22/11/20 17:57:04 INFO mapreduce.Job: The url to track the job: http://master1.cuhk.com:8088/proxy/application_1668496639954_6843/,<*> INFO <*>: The url to track the job: <*>
481,Running job: job_1668496639954_6843,s32,Running job: <*>,22/11/20 17:57:04 INFO mapreduce.Job: Running job: job_1668496639954_6843,<*> INFO <*>: Running job: <*>
482,Job job_1668496639954_6843 running in uber mode : false,s33,Job <*> running in uber mode : <*>,22/11/20 17:57:12 INFO mapreduce.Job: Job job_1668496639954_6843 running in uber mode : false,<*> INFO <*>: Job <*> running in uber mode : <*>
483,map 0% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:57:12 INFO mapreduce.Job:  map 0% reduce 0%,<*> INFO <*>: map <*> reduce <*>
484,map 100% reduce 0%,s34,map <*> reduce <*>,22/11/20 17:57:20 INFO mapreduce.Job:  map 100% reduce 0%,<*> INFO <*>: map <*> reduce <*>
